inputname;organisasjonsnummer;korreksjon
RAGNAR ANDERSSON AS;;
RAGNAR LEERIMA;;
RAGNAR SKÅNØY;;
RAGNSELLS;;
RAKON BYGG AS;976261593;
RAMBØLL;;
RAMBØLL NORGE AS;915251293;
RAMIRENT;;
RANDEM % HÜBERT AS;;
RAUFOSS TAK & BLIKK AS;;
REKRUTERINGSHUSET MORK AS;;
RENA BLIKKENSLAGERVERKSTED AS;992111658;
RENT BYGG INNLANDET;;
RESCONSULT AS;;
RH PROSJEKT;;
RINGERIKE ANLEGGSSERVICE AS;980502767;
RINGERUD INNVEST;;
RINGSAKER BLIKK OG VENTILASJON AS;958301545;
RINGSAKER ELEKTRO AS;911948745;
RINGSAKER TAKELEMENTER AS;;
RINGSAKER VEGG - OG TAKELEMENTER;;
RINO BRÅTHEN GRAVING OG TRANSPRT;;
RIVETJENESTER AS;816075882;
RIVTEC AS;;
ROAR STEEN EDVARDSEN;;
ROGNSTAD VVS;;
ROKO NORGE AS;995424789;
ROLF HOLM AS;986659420;
ROMARHEIM AS;921584164;
ROMERIKE ARMERING;;
ROMERIKE ELEKTRO;;
ROMERIKE MASKIN;;
ROMØREN;;
RØNNING ELEKTRO AS;915581714;
RØNNINGEN MASKIN AS;971932988;
RØR&SVEISESERVICE AS;817724892;
RØRCOMPANIET;;
ROSENBORG MALERSERVICE;;
ROSMEK AS;986680829;
ROTOTEC;;
ROXEL;;
RS BLIKK;;
RS GULV;;
RSMFASADE;;
RUBICON;;
SAAHA AS;811909262;
SANDNES BETONG AS;;
SANDNES TAK;;
SAXI PRODUKTER AS;919840528;
SCANCON;;
SCANDICON;;
SCHINDLER (HEIS);;
SCHJØLBERG & TOMBRE AS;936816703;
SEABROKERS AS;933564037;
SEABROKERS ENTREPRENØRSERVICE;;
SEABROKERS FUNDAMENTERING AS;989580493;
SEAC;;
SEIERSTAD PELEMASKINER AS;971804726;
SET;;
SH-BYGG AS;992764619;
SI ALUMINIUM AS;;
SIA HUSVIK;;
SIAS AS;972427942;
SIG HALVORSEN;;
SIGDAL STUDIO LØRENSKOG;;
SIGDAL STUDIO SKØYEN;;
SIVILINGENIØRENE HARBOE OG LEGANGER AS;893747982;
SJUR DAHL ARMERING;;
SKANCKE AS;976545281;
SKIPTVET BLIKK AS;960796217;
SKONTO;;
SL MEKANISKE AS;972387371;
SMITEK AS;912820092;
SMITH STÅL ØST;;
SNØPORTEN UTVIKLING;;
SØBSTAD;;
SOLA BYGG;;
SOLA KOMMUNE;948243113;
SOLSKJERMINGSGRUPPEN AS;979813937;
SØNNICO AS;996669173;
SØR MASKIN AS;894533242;
SØR ODAL KOMMUNE;;
SØR-NORSK BORING AS;990405700;
SØRLI ARKITEKTER AS;943257620;
SØRUM ELEKTRISKE;;
SPENNCON AS;844558082;
SPLITKON;;
SR ENTREPRENØR AS;;
SRI AS;;
SRO AS;919967870;
SSG;;
ST-INNREDNING;;
STÅLTEKNIKK;;
STAMAS;;
STANGELAND MASKIN;;
STARLIFT AS;994088610;
STATNETT;;
STAVANGER BYGG AS;971798939;
STEEN OG LUND AS;;
STEINAR FRELLUMSTAD KRAN OG TRANSPORT AS;881322242;
STEINSVIK AS;989994921;
STENBERG SCHULZ;;
STERUD MILJØSERVICE AS;;
STILLASMONTASJE;;
STOKKE STÅL AS;972071668;
STORHAMAR ELEKTRO AS;811948772;
STORM ELEKTRO;;
STRAND ENTREPRENØR AS;920316506;
STUDIONSW;;
SVEIN STRAND AS;918652531;
SVENSGAARD INSTALLASJON AS;960733185;
SVENT AS;914504007;
SVERRE PETTERSEN AS;957861539;
SWECO;;
SWECO NORGE AS;967032271;
SYSTEMBLOKK AS;872049142;
T LUND;;
TAG ARKITEKTER;;
TALSETH&HUSBY;;
TAUBANE TEKNIKK AS;978664407;
TEAM ARMERING;;
TECHNOTEAM PROSJEKT AS;915093329;
TELEDATA ØST;;
TEMPORENT AS;889930462;
TERRATEC;;
TESSTA CONNECT AS;991386343;
TEST;;
TGS RENHOLD;;
TH ANLEGG;;
THALSET & HUSBY;;
THOMAS BETONG;;
THUNBERG;;
THYSSEN GROUP;;
TIGBRO;;
TILLER VIMEK;;
TIMBECO;;
TIVETA;;
TKC PROSJEKT;;
TO BULL;;
TOBB;;
TØFTUM INNREDNING AS;886342462;
TOM I MYHRE;;
TOMWIL MILJØ;;
TORBJØRN LEMTUN;;
TORE LIEGAARD;;
TORE ORVEI AS AUTORISERT RØRLEGGERBEDRIFT;;
TORSNES INDUSTRISERVICE;;
TOTALKLIMA & VVS;;
TOTALTEK TRØNDELAG;;
TRANBY;;
TRAPPETEKNIKK;;
TREMILJØ PROSJEKT AS;976571282;
TRINNLYD OG VARME;;
TRIO ENTREPRENØR AS;982592577;
TROAX AS;;
TRONDHEIM KOMMUNE;942110464;
TRONDHEIM STÅL;;
TRONDHEIM TAK;;
TS BYGGTJENESTER;;
TUNG RØR AS;990741727;
TVEITEN & RIIS AS;;
ULLENSAKER RENHOLDSTEKNIKK AS;995939258;
UNDERVISNINGSBYGG;;
UNICON;;
UNICON AS;942822979;
UNIHOUSE;;
UNIONCONSULT;;
UNISPORT;996511030;
UNIVERSAL BRØNNBORING AS;924670150;
UNIVERSELT AS;898415112;
UTHAUG SEMENTSTØPERI;;
UTSTILLINGSPLASSEN EIENDOM;;
VÆRSTE AS;980874109;
VARIA;;
VATLAND & SØNN;;
VEFLEN;;
VEGARD MEISINGSET AS;;
VEGG & TAK ASSISTANSE;;
VEGG & TAK MONTASJE A/S;;
VEKSTHUSET BEMANNING AS;994023624;
VEKSTHUSET REKRUTTERING AS;;
VENTAL;;
VEST BETONG;;
VEST BETONG PROSJEKT VERKST GT;;
VESTFOLD FJELLBORING;;
VESTLIA PROPERTIES;;
